,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,,赛季,球队,场次,首发,时间,投篮,命中率,三分,命中率,罚球,命中率,篮板,助攻,抢断,盖帽,失误,犯规,得分
1,,2009,猛龙,77,65,21.6,3.3-6.6,50.0%,0.1-0.2,25.0%,1.9-2.5,76.0%,2.9,0.7,0.56,0.23,0.81,2.29,8.6
2,,2010,猛龙,82,82,34.8,6.6-14.1,47.0%,0.1-0.6,10.0%,4.0-4.9,81.0%,3.8,1.8,1.04,0.38,1.76,2.65,17.2
3,,2011,猛龙,63,63,35.0,6.0-14.3,42.0%,0.4-1.5,26.0%,4.3-5.3,81.0%,3.3,2.0,0.76,0.27,1.95,2.57,16.7
4,,2012,猛龙,82,82,36.7,6.7-15.0,45.0%,0.4-1.5,28.0%,4.3-5.2,83.0%,3.9,2.5,0.93,0.29,1.84,2.11,18.1
5,,2013,猛龙,79,79,38.2,7.6-17.8,43.0%,0.8-2.7,31.0%,6.6-8.0,82.0%,4.3,4.0,1.09,0.35,2.23,2.49,22.7
6,,2014,猛龙,60,60,35.0,6.8-16.5,41.0%,0.4-1.5,28.0%,6.0-7.2,83.0%,4.6,3.5,1.22,0.18,2.28,2.03,20.1
7,,2015,猛龙,78,78,35.9,7.9-17.7,45.0%,0.6-1.8,34.0%,7.1-8.4,85.0%,4.5,4.0,1.04,0.27,2.24,2.14,23.5
8,,2016,猛龙,74,74,35.4,9.7-20.9,47.0%,0.4-1.7,27.0%,7.4-8.7,84.0%,5.2,3.9,1.05,0.18,2.43,1.81,27.3
9,,2017,猛龙,80,80,33.9,8.1-17.7,46.0%,1.1-3.6,31.0%,5.8-7.0,83.0%,3.9,5.2,1.06,0.28,2.19,1.89,23.0
10,,2017,汇总,80,80,33.9,8.1-17.7,46.0%,1.1-3.6,31.0%,5.8-7.0,83.0%,3.9,5.2,1.06,0.28,2.19,1.89,23.0
11,,2018,马刺,77,77,34.9,8.2-17.1,48.0%,0.1-0.6,16.0%,4.8-5.7,83.0%,6.0,6.2,1.12,0.47,2.58,2.30,21.2
12,,2019,马刺,68,68,34.1,8.2-15.4,53.0%,0.1-0.5,26.0%,5.6-6.6,85.0%,5.5,5.6,1.03,0.29,2.41,2.65,22.1
13,,2020,马刺,61,61,33.7,7.5-15.1,50.0%,0.3-1.2,26.0%,6.3-7.2,88.0%,4.2,6.9,0.92,0.25,1.95,2.10,21.6
