,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,,赛季,球队,场次,首发,时间,投篮,命中率,三分,命中率,罚球,命中率,篮板,助攻,抢断,盖帽,失误,犯规,得分
1,,2012,勇士,79,1,13.4,1.1-3.3,33.0%,0.2-0.8,21.0%,0.6-0.7,82.0%,3.3,0.7,0.53,0.32,0.65,2.01,2.9
2,,2013,勇士,82,12,21.9,2.3-5.6,41.0%,0.7-2.0,33.0%,1-1.5,67.0%,5.0,1.9,1.24,0.88,1.11,2.82,6.2
3,,2014,勇士,79,79,31.5,4.3-9.7,44.0%,1.4-4.2,34.0%,1.7-2.5,66.0%,8.2,3.7,1.56,1.25,1.68,3.20,11.7
4,,2015,勇士,81,81,34.7,5.0-10.1,49.0%,1.2-3.2,39.0%,2.8-4.1,70.0%,9.5,7.4,1.47,1.40,3.20,2.96,14.0
5,,2016,勇士,76,76,32.5,3.6-8.6,42.0%,1.1-3.5,31.0%,2.0-2.8,71.0%,7.9,7.0,2.03,1.39,2.42,2.86,10.2
6,,2017,勇士,70,70,32.7,4.0-8.8,45.0%,1.1-3.7,30.0%,1.9-2.5,78.0%,7.6,7.3,1.34,1.30,2.89,2.64,11.0
7,,2017,汇总,70,70,32.7,4.0-8.8,45.0%,1.1-3.7,30.0%,1.9-2.5,78.0%,7.6,7.3,1.34,1.30,2.89,2.64,11.0
8,,2018,勇士,66,66,31.3,2.8-6.4,45.0%,0.7-2.5,29.0%,1.0-1.4,69.0%,7.3,6.9,1.44,1.06,2.56,2.98,7.4
9,,2019,勇士,43,43,28.4,2.9-7.3,39.0%,0.8-3.0,28.0%,1.5-1.9,76.0%,6.2,6.2,1.37,0.77,2.28,2.56,8.0
10,,2020,勇士,63,63,31.5,2.7-6.0,45.0%,0.5-2.0,27.0%,1.1-1.4,80.0%,7.1,8.9,1.67,0.83,2.98,3.08,7.0
11,,2021,勇士,46,44,28.9,2.9-5.6,53.0%,0.3-1.2,30.0%,1.3-2.0,66.0%,7.3,7.0,1.33,1.09,3.02,2.96,7.5
12,,2022,勇士,44,44,31.6,3.1-6.0,51.0%,0.6-1.9,33.0%,1.1-1.5,72.0%,7.3,6.8,0.89,0.80,2.48,3.00,7.9
