,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,,赛季,球队,场次,首发,时间,投篮,命中率,三分,命中率,罚球,命中率,篮板,助攻,抢断,盖帽,失误,犯规,得分
1,,2009,雷霆,76,0,22.9,3.1-7.6,40.0%,1.2-3.3,38.0%,2.6-3.2,81.0%,3.2,1.8,1.05,0.26,1.39,2.63,9.9
2,,2010,雷霆,82,5,26.7,3.6-8.3,44.0%,1.4-4.0,35.0%,3.5-4.2,84.0%,3.1,2.1,1.12,0.29,1.29,2.52,12.2
3,,2011,雷霆,62,2,31.4,5.0-10.1,49.0%,1.8-4.7,39.0%,5.0-6.0,85.0%,4.1,3.7,1,0.24,2.21,2.42,16.8
4,,2012,火箭,78,78,38.3,7.5-17.1,44.0%,2.3-6.2,37.0%,8.6-10.2,85.0%,4.9,5.8,1.82,0.49,3.78,2.28,25.9
5,,2013,火箭,73,73,38.0,7.5-16.5,46.0%,2.4-6.6,37.0%,7.9-9.1,87.0%,4.7,6.1,1.58,0.40,3.63,2.42,25.4
6,,2014,火箭,81,81,36.8,8.0-18.1,44.0%,2.6-6.9,38.0%,8.8-10.2,87.0%,5.7,7.0,1.90,0.74,3.96,2.57,27.4
7,,2015,火箭,82,82,38.1,8.7-19.7,44.0%,2.9-8.0,36.0%,8.8-10.2,86.0%,6.1,7.5,1.70,0.62,4.56,2.79,29.0
8,,2016,火箭,81,81,36.4,8.3-18.9,44.0%,3.2-9.3,35.0%,9.2-10.9,85.0%,8.1,11.2,1.49,0.47,5.73,2.65,29.1
9,,2017,火箭,72,72,35.4,9.0-20.1,45.0%,3.7-10.0,37.0%,8.7-10.1,86.0%,5.4,8.8,1.75,0.69,4.38,2.35,30.4
10,,2017,汇总,72,72,35.4,9.0-20.1,45.0%,3.7-10.0,37.0%,8.7-10.1,86.0%,5.4,8.8,1.75,0.69,4.38,2.35,30.4
11,,2018,火箭,78,78,36.8,10.8-24.5,44.0%,4.8-13.2,37.0%,9.7-11.0,88.0%,6.6,7.5,2.03,0.74,4.96,3.13,36.1
12,,2019,火箭,68,68,36.5,9.9-22.3,44.0%,4.4-12.4,36.0%,10.2-11.8,87.0%,6.6,7.5,1.84,0.88,4.53,3.34,34.3
13,,2020,火箭,8,8,36.2,7.5-16.9,44.0%,3.1-9.0,35.0%,6.6-7.5,88.0%,5.1,10.4,0.88,0.75,4.25,1.75,24.8
14,,2020,篮网,36,35,36.6,7.8-16.6,47.0%,2.7-7.3,37.0%,6.2-7.3,86.0%,8.5,10.9,1.28,0.75,3.97,2.36,24.6
