,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,,赛季,球队,场次,首发,时间,投篮,命中率,三分,命中率,罚球,命中率,篮板,助攻,抢断,盖帽,失误,犯规,得分
1,,2011,公牛,42,0,8.5,0.8-1.9,41.0%,0.0-0.3,18.0%,1.0-1.3,77.0%,1.3,0.3,0.26,0.12,0.33,0.48,2.6
2,,2012,公牛,82,20,26.0,2.9-6.2,47.0%,0.5-1.3,38.0%,2.3-2.8,80.0%,4.0,1.4,0.95,0.38,0.76,1.18,8.6
3,,2013,公牛,67,67,38.7,4.1-10.3,40.0%,1.0-3.6,28.0%,3.9-5.0,77.0%,4.9,2.6,1.90,0.54,1.52,1.58,13.1
4,,2014,公牛,65,65,38.7,6.5-14.0,46.0%,1.1-3.0,38.0%,5.9-7.1,83.0%,5.8,3.3,1.75,0.55,1.43,1.66,20.0
5,,2015,公牛,67,67,36.9,7.0-15.4,45.0%,1.0-3.1,31.0%,5.9-7.1,83.0%,5.3,4.8,1.64,0.64,1.97,1.85,20.9
6,,2016,公牛,76,75,37.0,7.5-16.5,46.0%,1.2-3.3,37.0%,7.7-8.9,87.0%,6.2,5.5,1.88,0.42,2.09,1.47,23.9
7,,2017,森林狼,59,59,36.7,7.4-15.6,47.0%,1.2-3.4,35.0%,6.2-7.2,85.0%,5.3,4.9,1.97,0.41,1.83,1.32,22.2
8,,2017,汇总,59,59,36.7,7.4-15.6,47.0%,1.2-3.4,35.0%,6.2-7.2,85.0%,5.3,4.9,1.97,0.41,1.83,1.32,22.2
9,,2018,森林狼,10,10,36.1,7.4-15.7,47.0%,1.7-4.5,38.0%,4.8-6.1,79.0%,5.2,4.3,2.40,1,1.40,1.80,21.3
10,,2018,76人,55,55,33.2,6.3-13.6,46.0%,0.9-2.7,34.0%,4.8-5.5,87.0%,5.3,4.0,1.80,0.53,1.47,1.69,18.2
11,,2018,汇总,65,65,33.6,6.4-13.9,46.0%,1.0-3.0,35.0%,4.8-5.6,86.0%,5.3,4.0,1.89,0.60,1.46,1.71,18.7
12,,2019,热火,58,58,33.8,5.9-13.1,46.0%,0.5-2.1,24.0%,7.6-9.1,83.0%,6.7,6.0,1.78,0.55,2.19,1.40,19.9
13,,2020,热火,52,52,33.6,7.0-14.2,50.0%,0.5-2.0,25.0%,6.9-8.0,86.0%,6.9,7.1,2.08,0.35,2.10,1.37,21.5
14,,2021,热火,57,57,33.9,7.0-14.5,48.0%,0.5-2.0,23.0%,6.9-8.0,87.0%,5.9,5.5,1.65,0.47,2.12,1.54,21.4
15,,2022,热火,36,36,33.9,7.3-13.9,53.0%,0.6-1.8,30.0%,6.8-8.0,85.0%,6.1,4.9,2.11,0.33,1.69,1.42,21.9
