,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,,赛季,球队,场次,首发,时间,投篮,命中率,三分,命中率,罚球,命中率,篮板,助攻,抢断,盖帽,失误,犯规,得分
1,,2011,马刺,64,39,24.0,3.1-6.3,49.0%,0.6-1.7,38.0%,1.1-1.4,77.0%,5.1,1.1,1.33,0.38,0.69,1.38,7.9
2,,2012,马刺,58,57,31.2,4.5-9.1,49.0%,1.1-3.0,37.0%,1.8-2.2,83.0%,6.0,1.6,1.67,0.55,1.07,1.71,11.9
3,,2013,马刺,66,65,29.1,5.1-9.8,52.0%,1.0-2.8,38.0%,1.5-1.9,80.0%,6.2,2.0,1.73,0.76,1.21,1.92,12.8
4,,2014,马刺,64,64,31.8,6.2-12.8,48.0%,1.0-3.0,35.0%,3.2-3.9,80.0%,7.2,2.5,2.31,0.75,1.52,2.00,16.5
5,,2015,马刺,72,72,33.1,7.7-15.1,51.0%,1.8-4.0,44.0%,4.1-4.6,87.0%,6.8,2.6,1.78,0.99,1.46,1.85,21.2
6,,2016,马刺,74,74,33.4,8.6-17.7,49.0%,2.0-5.2,38.0%,6.3-7.2,88.0%,5.8,3.5,1.80,0.74,2.08,1.65,25.5
7,,2017,马刺,9,9,23.3,5.8-12.3,47.0%,1.2-3.9,31.0%,3.4-4.2,82.0%,4.7,2.3,2.00,1,1.78,1,16.2
8,,2017,汇总,9,9,23.3,5.8-12.3,47.0%,1.2-3.9,31.0%,3.4-4.2,82.0%,4.7,2.3,2.00,1,1.78,1,16.2
9,,2018,猛龙,60,60,34.0,9.3-18.8,50.0%,1.9-5.0,37.0%,6.1-7.1,85.0%,7.3,3.3,1.77,0.40,2.02,1.45,26.6
10,,2019,快船,57,57,32.4,9.3-19.9,47.0%,2.2-5.7,38.0%,6.2-7.1,89.0%,7.1,4.9,1.81,0.58,2.61,1.98,27.1
11,,2020,快船,52,52,34.1,8.9-17.5,51.0%,1.9-4.9,40.0%,5.0-5.7,89.0%,6.5,5.2,1.56,0.40,2.02,1.58,24.8
12,,2022,快船,52,50,33.6,8.6-16.8,51.0%,2.0-4.8,42.0%,4.7-5.4,87.0%,6.5,3.9,1.38,0.54,1.69,1.62,23.8
