,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,,赛季,球队,场次,首发,时间,投篮,命中率,三分,命中率,罚球,命中率,篮板,助攻,抢断,盖帽,失误,犯规,得分
1,,2011,勇士,66,29,24.4,4.8-10.9,44.0%,1.7-4.1,41.0%,1.2-1.4,87.0%,2.4,2.0,0.74,0.30,1.56,2.35,12.5
2,,2012,勇士,82,82,35.8,6.2-14.7,42.0%,2.6-6.4,40.0%,1.6-1.9,84.0%,3.7,2.2,1.05,0.55,1.91,2.89,16.6
3,,2013,勇士,81,81,35.4,6.9-15.5,44.0%,2.8-6.6,42.0%,1.8-2.3,80.0%,3.1,2.2,0.91,0.46,1.67,2.89,18.4
4,,2014,勇士,77,77,31.9,7.8-16.9,46.0%,3.1-7.1,44.0%,2.9-3.3,88.0%,3.2,2.9,1.13,0.78,1.94,1.58,21.7
5,,2015,勇士,80,80,33.3,8.1-17.3,47.0%,3.5-8.1,43.0%,2.4-2.8,87.0%,3.8,2.1,0.75,0.61,1.73,1.90,22.1
6,,2016,勇士,78,78,34.0,8.3-17.6,47.0%,3.4-8.3,41.0%,2.4-2.8,85.0%,3.7,2.1,0.85,0.51,1.64,1.78,22.3
7,,2017,勇士,73,73,34.3,7.9-16.2,49.0%,3.1-7.1,44.0%,1.1-1.3,84.0%,3.8,2.5,0.75,0.47,1.75,1.60,20.0
8,,2017,汇总,73,73,34.3,7.9-16.2,49.0%,3.1-7.1,44.0%,1.1-1.3,84.0%,3.8,2.5,0.75,0.47,1.75,1.60,20.0
9,,2018,勇士,78,78,34.0,8.4-18.0,47.0%,3.1-7.7,40.0%,1.7-2.0,82.0%,3.8,2.4,1.08,0.60,1.47,2.01,21.5
10,,2021,勇士,32,32,29.4,7.7-17.9,43.0%,3.6-9.2,39.0%,1.4-1.6,90.0%,3.9,2.8,0.50,0.53,1.34,1.69,20.4
11,,2022,勇士,38,38,32.3,7.6-18.2,42.0%,4.1-10.3,39.0%,1.7-1.9,89.0%,3.9,2.4,0.63,0.42,1.66,2.16,20.9
