,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,,赛季,球队,场次,首发,时间,投篮,命中率,三分,命中率,罚球,命中率,篮板,助攻,抢断,盖帽,失误,犯规,得分
1,,2011,骑士,51,51,30.5,6.9-14.6,47.0%,1.4-3.6,40.0%,3.4-3.8,87.0%,3.7,5.4,1.06,0.39,3.14,2.16,18.5
2,,2012,骑士,59,59,34.7,8.2-18.1,45.0%,1.8-4.7,39.0%,4.2-4.9,86.0%,3.7,5.9,1.51,0.36,3.24,2.47,22.5
3,,2013,骑士,71,71,35.2,7.5-17.4,43.0%,1.7-4.8,36.0%,4.1-4.8,86.0%,3.6,6.1,1.52,0.32,2.68,2.30,20.8
4,,2014,骑士,75,75,36.4,7.7-16.5,47.0%,2.1-5.0,42.0%,4.2-4.9,86.0%,3.2,5.2,1.52,0.27,2.48,1.95,21.7
5,,2015,骑士,53,53,31.5,7.4-16.6,45.0%,1.6-4.9,32.0%,3.2-3.6,89.0%,3.0,4.7,1.06,0.34,2.34,2.02,19.6
6,,2016,骑士,72,72,35.1,9.3-19.7,47.0%,2.5-6.1,40.0%,4.1-4.6,91.0%,3.2,5.8,1.15,0.33,2.50,2.18,25.2
7,,2017,凯尔特人,60,60,32.2,8.9-18.1,49.0%,2.8-6.8,41.0%,3.9-4.3,89.0%,3.8,5.1,1.08,0.28,2.33,2.03,24.4
8,,2017,汇总,60,60,32.2,8.9-18.1,49.0%,2.8-6.8,41.0%,3.9-4.3,89.0%,3.8,5.1,1.08,0.28,2.33,2.03,24.4
9,,2018,凯尔特人,67,67,33.0,9.0-18.5,49.0%,2.6-6.5,40.0%,3.2-3.7,87.0%,5.0,6.9,1.54,0.51,2.57,2.49,23.8
10,,2019,篮网,20,20,32.9,9.9-20.8,48.0%,2.8-7.1,39.0%,4.7-5.1,92.0%,5.2,6.4,1.35,0.50,2.60,2.65,27.4
11,,2020,篮网,54,54,34.9,10.2-20.1,51.0%,2.8-7.0,40.0%,3.7-4.0,92.0%,4.8,6.0,1.41,0.69,2.41,2.59,26.9
12,,2021,篮网,29,29,37.6,10.0-21.2,47.0%,3.4-8.2,42.0%,4.1-4.4,92.0%,4.4,5.8,1.41,0.59,2.52,2.79,27.4
13,,2022,篮网,40,40,37.0,9.9-20.5,49.0%,3.2-8.7,37.0%,4.0-4.5,88.0%,5.1,5.3,1.02,0.82,2.27,2.73,27.1
14,,2022,独行侠,20,20,38.1,9.8-19.2,51.0%,2.9-7.4,39.0%,4.5-4.7,95.0%,5.0,6.0,1.25,0.60,1.85,2.80,26.9
