,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,,赛季,球队,场次,首发,时间,投篮,命中率,三分,命中率,罚球,命中率,篮板,助攻,抢断,盖帽,失误,犯规,得分
1,,2008,雷霆,82,65,32.5,5.3-13.4,40.0%,0.4-1.6,27.0%,4.3-5.2,82.0%,4.9,5.3,1.34,0.20,3.34,2.33,15.3
2,,2009,雷霆,82,82,34.3,5.9-14.1,42.0%,0.3-1.3,22.0%,4.0-5.1,78.0%,4.9,8.0,1.32,0.41,3.27,2.49,16.1
3,,2010,雷霆,82,82,34.7,7.5-17.0,44.0%,0.4-1.3,33.0%,6.5-7.7,84.0%,4.6,8.2,1.89,0.37,3.85,2.52,21.9
4,,2011,雷霆,66,66,35.3,8.8-19.2,46.0%,0.9-3.0,32.0%,5.2-6.3,82.0%,4.6,5.5,1.70,0.32,3.62,2.23,23.6
5,,2012,雷霆,82,82,34.9,8.2-18.7,44.0%,1.2-3.7,32.0%,5.6-7.0,80.0%,5.2,7.4,1.77,0.29,3.33,2.30,23.2
6,,2013,雷霆,46,46,30.7,7.5-17.2,44.0%,1.5-4.7,32.0%,5.3-6.4,83.0%,5.7,6.9,1.91,0.15,3.85,2.26,21.8
7,,2014,雷霆,67,67,34.4,9.4-22.0,43.0%,1.3-4.3,30.0%,8.1-9.8,84.0%,7.3,8.6,2.09,0.21,4.37,2.75,28.1
8,,2015,雷霆,80,80,34.4,8.2-18.1,45.0%,1.3-4.3,30.0%,5.8-7.2,81.0%,7.8,10.4,2.04,0.25,4.28,2.50,23.5
9,,2016,雷霆,81,81,34.6,10.2-24.0,43.0%,2.5-7.2,34.0%,8.8-10.4,85.0%,10.7,10.4,1.63,0.38,5.41,2.35,31.6
10,,2017,雷霆,80,80,36.4,9.5-21.1,45.0%,1.2-4.1,30.0%,5.2-7.1,74.0%,10.1,10.2,1.84,0.25,4.76,2.50,25.4
11,,2017,汇总,80,80,36.4,9.5-21.1,45.0%,1.2-4.1,30.0%,5.2-7.1,74.0%,10.1,10.2,1.84,0.25,4.76,2.50,25.4
12,,2018,雷霆,73,73,36.0,8.6-20.2,43.0%,1.6-5.6,29.0%,4.1-6.2,66.0%,11.1,10.7,1.95,0.45,4.45,3.36,22.9
13,,2019,火箭,57,57,35.9,10.6-22.5,47.0%,1.0-3.7,26.0%,5.1-6.7,76.0%,7.9,7.0,1.63,0.35,4.47,3.51,27.2
14,,2020,奇才,65,65,36.4,8.4-19.0,44.0%,1.3-4.2,32.0%,4.2-6.4,66.0%,11.5,11.7,1.37,0.35,4.80,2.92,22.2
